name,LAT,LON
Price-Pocono-1,35.05,-84.47
Price-Pocono-2,35.7,-84.08
Price-Pocono-3,36.77,-83.02
Price-Pocono-4,37.35,-82.08
Price-Pocono-4b,38.67,-81.88
Price-Pocono-5,39.53,-81.45
Price-Pocono-6,40.1,-80.13
Price-Pocono-7,40.55,-78.08
Price-Pocono-8,40.38,-76.25
Price-Pocono-9,39.7,-77.48
Price-Pocono-10,38.33,-77.97
Price-Pocono-11,37.03,-79.58
Price-Pocono-12,36.38,-81.45
